% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 100 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 20 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:47:01 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
9.132289e+02, 5.919731e+00, -2.730497e+01, 7.301655e+00, -1.059073e+02, -1.381924e+00, 7.860234e+01
8.850172e+02, 5.972908e+00, -2.596398e+01, 6.903278e+00, -1.044521e+02, -9.303698e-01, 7.848808e+01
8.576769e+02, 5.904710e+00, -2.530235e+01, 6.663402e+00, -1.052983e+02, -7.586914e-01, 7.999597e+01
8.311813e+02, 6.083838e+00, -2.453927e+01, 6.408030e+00, -1.018240e+02, -3.241920e-01, 7.728473e+01
8.055042e+02, 5.869325e+00, -2.304371e+01, 5.790611e+00, -1.041922e+02, 7.871429e-02, 8.114849e+01
7.806203e+02, 5.942533e+00, -2.265093e+01, 5.651012e+00, -1.023725e+02, 2.915208e-01, 7.972153e+01
7.565051e+02, 5.935200e+00, -2.260262e+01, 5.637282e+00, -1.030274e+02, 2.979183e-01, 8.042478e+01
7.331349e+02, 5.936407e+00, -2.110074e+01, 5.038337e+00, -1.021613e+02, 8.980695e-01, 8.106056e+01
7.104867e+02, 6.046377e+00, -2.090700e+01, 5.008182e+00, -1.007540e+02, 1.038195e+00, 7.984698e+01
6.885381e+02, 5.802336e+00, -1.956177e+01, 4.396707e+00, -1.048617e+02, 1.405629e+00, 8.529989e+01
6.672675e+02, 5.966989e+00, -1.961121e+01, 4.569199e+00, -1.017171e+02, 1.397791e+00, 8.210588e+01
6.466541e+02, 5.836948e+00, -1.788324e+01, 3.591718e+00, -1.038136e+02, 2.245230e+00, 8.593041e+01
6.266775e+02, 6.056586e+00, -1.794007e+01, 3.695770e+00, -9.807830e+01, 2.360816e+00, 8.013822e+01
6.073179e+02, 5.928363e+00, -1.748574e+01, 3.415671e+00, -1.006422e+02, 2.512692e+00, 8.315650e+01
5.885565e+02, 6.029009e+00, -1.634607e+01, 2.882148e+00, -9.851631e+01, 3.146861e+00, 8.217023e+01
5.703746e+02, 6.100955e+00, -1.686369e+01, 3.357382e+00, -9.770443e+01, 2.743572e+00, 8.084074e+01
5.527544e+02, 5.977517e+00, -1.510220e+01, 2.233116e+00, -1.002239e+02, 3.744400e+00, 8.512167e+01
5.356785e+02, 5.758759e+00, -1.506606e+01, 2.094892e+00, -1.047656e+02, 3.663868e+00, 8.969949e+01
5.191302e+02, 6.056235e+00, -1.535496e+01, 2.369316e+00, -9.667795e+01, 3.686919e+00, 8.132299e+01
5.030930e+02, 5.924730e+00, -1.532696e+01, 2.270895e+00, -1.002760e+02, 3.653835e+00, 8.494907e+01
4.875513e+02, 5.981339e+00, -1.391721e+01, 1.428450e+00, -9.881074e+01, 4.552889e+00, 8.489352e+01
4.724897e+02, 6.099238e+00, -1.470095e+01, 1.996697e+00, -9.628469e+01, 4.102541e+00, 8.158374e+01
4.578934e+02, 6.120371e+00, -1.347863e+01, 1.272650e+00, -9.481435e+01, 4.847721e+00, 8.133573e+01
4.437480e+02, 6.185490e+00, -1.148731e+01, -5.285052e-02, -8.986543e+01, 6.238341e+00, 7.837811e+01
4.300396e+02, 6.071026e+00, -1.197982e+01, 2.221868e-01, -9.360045e+01, 5.848839e+00, 8.162063e+01
4.167547e+02, 5.963330e+00, -1.407260e+01, 1.544431e+00, -9.932718e+01, 4.418898e+00, 8.525458e+01
4.038802e+02, 6.221477e+00, -1.102575e+01, -4.170567e-01, -8.967021e+01, 6.638534e+00, 7.864445e+01
3.914034e+02, 6.030145e+00, -9.726297e+00, -1.676765e+00, -9.479691e+01, 7.706910e+00, 8.507061e+01
3.793120e+02, 5.795732e+00, -1.083209e+01, -7.961361e-01, -1.033989e+02, 6.591868e+00, 9.256677e+01
3.675942e+02, 6.091097e+00, -1.059181e+01, -8.491511e-01, -9.238860e+01, 6.940248e+00, 8.179680e+01
3.562384e+02, 6.044393e+00, -1.097441e+01, -6.078299e-01, -9.618437e+01, 6.652222e+00, 8.520997e+01
3.452333e+02, 6.017543e+00, -8.865270e+00, -2.495179e+00, -9.526035e+01, 8.512722e+00, 8.639508e+01
3.345683e+02, 5.936275e+00, -1.053589e+01, -9.300950e-01, -9.807359e+01, 6.866370e+00, 8.753770e+01
3.242327e+02, 6.039651e+00, -1.015756e+01, -1.180178e+00, -9.610877e+01, 7.219829e+00, 8.595121e+01
3.142164e+02, 5.949763e+00, -6.966099e+00, -4.509712e+00, -9.803287e+01, 1.045947e+01, 9.106677e+01
3.045095e+02, 5.975112e+00, -1.006338e+01, -1.292728e+00, -9.655997e+01, 7.267839e+00, 8.649659e+01
2.951025e+02, 5.919318e+00, -7.779618e+00, -3.596288e+00, -9.810368e+01, 9.515606e+00, 9.032406e+01
2.859861e+02, 6.043442e+00, -9.594440e+00, -1.705792e+00, -9.367640e+01, 7.749234e+00, 8.408196e+01
2.771513e+02, 5.987203e+00, -7.691042e+00, -3.689781e+00, -9.575620e+01, 9.676984e+00, 8.806516e+01
2.685895e+02, 5.952960e+00, -6.436045e+00, -5.147680e+00, -9.631423e+01, 1.110064e+01, 8.987818e+01
2.602921e+02, 5.924818e+00, -7.817543e+00, -3.520001e+00, -9.681109e+01, 9.444819e+00, 8.899355e+01
2.522511e+02, 6.027103e+00, -8.663210e+00, -2.583070e+00, -9.342175e+01, 8.610172e+00, 8.475854e+01
2.444585e+02, 5.909393e+00, -6.244700e+00, -5.496751e+00, -9.923357e+01, 1.140614e+01, 9.298887e+01
2.369066e+02, 5.877231e+00, -6.502623e+00, -5.039432e+00, -9.894741e+01, 1.091666e+01, 9.244478e+01
2.295880e+02, 6.043892e+00, -8.079438e+00, -3.159977e+00, -9.246358e+01, 9.203869e+00, 8.438414e+01
2.224955e+02, 5.831297e+00, -5.096940e+00, -7.128461e+00, -1.033682e+02, 1.295976e+01, 9.827123e+01
2.156221e+02, 5.985037e+00, -7.073222e+00, -4.346070e+00, -9.413571e+01, 1.033111e+01, 8.706249e+01
