% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 1.00 kHz, RBW 1.569 Hz (Minimum mode), Hanning window, Video filter off, 32 averages
% Internal 10 MHz clock
% Acquired 2019-02-04 T 15:40:08 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
4.165230e+02, 8.078663e-05, 2.745872e-06
4.175485e+02, 1.039214e-04, 2.571664e-06
4.185739e+02, 1.284338e-04, 2.790896e-06
4.195994e+02, 1.166484e-04, 2.915240e-06
4.206248e+02, 9.349086e-05, 3.015388e-06
4.216503e+02, 9.645701e-05, 3.135524e-06
4.226757e+02, 9.444701e-05, 3.515709e-06
4.237012e+02, 8.695856e-05, 3.289744e-06
4.247267e+02, 8.764198e-05, 3.120165e-06
4.257521e+02, 7.388621e-05, 3.074930e-06
4.267776e+02, 6.718432e-05, 3.097442e-06
4.278030e+02, 5.607774e-05, 2.976044e-06
4.288285e+02, 3.540563e-05, 3.262392e-06
4.298539e+02, 3.230929e-05, 2.845178e-06
4.308794e+02, 4.078219e-05, 2.673075e-06
4.319048e+02, 4.902743e-05, 2.764597e-06
4.329303e+02, 5.143554e-05, 2.804151e-06
4.339558e+02, 4.859789e-05, 2.507704e-06
4.349812e+02, 4.952868e-05, 2.668656e-06
4.360067e+02, 5.483522e-05, 2.924708e-06
4.370321e+02, 7.837329e-05, 3.122479e-06
4.380576e+02, 7.594862e-05, 2.898829e-06
4.390830e+02, 6.627240e-05, 2.582394e-06
4.401085e+02, 6.763064e-05, 2.814881e-06
4.411340e+02, 8.764952e-05, 2.537580e-06
4.421594e+02, 1.029294e-04, 2.743557e-06
4.431849e+02, 1.199821e-04, 2.670550e-06
4.442103e+02, 1.176197e-04, 2.906193e-06
4.452358e+02, 1.084432e-04, 3.741884e-06
4.462612e+02, 9.741359e-05, 3.636896e-06
4.472867e+02, 1.097769e-04, 3.438704e-06
4.483121e+02, 1.256310e-04, 3.123321e-06
4.493376e+02, 1.384169e-04, 2.969312e-06
4.503631e+02, 1.483865e-04, 2.628892e-06
4.513885e+02, 1.436055e-04, 2.685909e-06
4.524140e+02, 1.425296e-04, 2.738297e-06
4.534394e+02, 1.535018e-04, 2.896935e-06
4.544649e+02, 1.439950e-04, 3.277120e-06
4.554903e+02, 1.270173e-04, 3.005920e-06
4.565158e+02, 1.293021e-04, 2.968891e-06
4.575413e+02, 1.121561e-04, 2.849807e-06
4.585667e+02, 1.218583e-04, 2.444164e-06
4.595922e+02, 1.416984e-04, 2.637728e-06
4.606176e+02, 1.484770e-04, 2.481194e-06
4.616431e+02, 1.610343e-04, 2.776589e-06
4.626685e+02, 2.135490e-04, 2.711787e-06
4.636940e+02, 2.163081e-04, 2.900512e-06
4.647194e+02, 1.532500e-04, 2.684226e-06
4.657449e+02, 1.183693e-04, 2.543892e-06
4.667704e+02, 7.474573e-05, 2.629312e-06
4.677958e+02, 9.454051e-05, 2.885153e-06
4.688213e+02, 7.510127e-05, 2.879473e-06
